review,sentiment
unexpected pleasure heard nothing film br br shameful since warrant wider audience br br wonderfully humane story social message gently told although admittedly predictable resolution solidly acted principal beautifully photographed muted color floating grey capture nostalgic tone film br br recent foray chinese film shower road home one less exciting one hope continue exploring china people amazing canvas film maker king mask highly recommended starting point anyone similarly interested recent chinese film br br,1
gender bender sex thing bit x file episode interesting premise good story ending wanting gender bender also x file debut actor nicholas lea better known alex krycek episode play michael man attacked one kindred need see episode see nic lea less spectacular beginning interesting thing kindred power seduction marty victim become turned onto however andrew seduces scully disoriented groggy become attracted andrew maybe marty experience andrew episode reminds would sometimes miserable film british columbia throughout episode wet soggy muddy could much fun despite disappointing ending gender bender still decent episode view,1
legend gala hollywood premiere screening space odyssey minute film rock hudson yelled would somebody please tell hell movie well rock beaten minute second movie made absolutely sense people people rule game called quintet rule quintet robert altman cohort making movie went along paul newman thinking signed maybe ol fast eddie saw zardoz thought well connery get involved futuristic film make sense maybe good stuff cutting room floor get see incoherent stuff also cast get keep individual funny hat never saw bizarre looking hat one place life quintet confirms always thought altman good superb bad make stuff like quintet,0
watched tenant interpreted horror movie us many trope genre sinister apartment suspicious neighbor apparition mystery hallucination life hero trelkovsky seemed surrounded evil secret force trying drive mad br br last time watched challenged initial interpretation movie horror movie horror sense kafka novel horror fact movie understood literal level lonely man slowly becoming crazy without external influence br br polanski made career three movie dealing madness repulsion particularly like development madness heroine never convinced rosemary baby heroine driven mad evil force tenant might best study paranoia ever made cinema br br trelkovsky young man rent apartment woman killed becomes obsessed slowly start becoming wear clothes put makeup talk like possessed spirit letting wild imagination get best hesitation real imaginary polanski never resolve make fascinating movie many event movie attributed supernatural easily normal cause viewer decide believe br br although favorite polanski movie nevertheless good example ability create suspense portray madness convincing term technically speaking marvel suffice say collaborates film composer philippe sarde legendary director photography sven nykvist bergman dp making movie slow pacing sometimes uninteresting segment may make movie difficult enjoy experience nevertheless,1
yes might historically accurate actually soldier th rota killed yes mistake exaggeration bended machine gun come history lesson afghanistan never conquered anyone educated russian officer would know history much better take example british campaign afghanistan yes multi million dollar hollywood style special effect strongest point showing soldier life relationship feeling best friend killed front eye opinion ya rota really good job showing thing br br movie weakness opinion appears one strongest russian movie past year br br,0
saying movie extremely hard follow frustrating sit putting mildly also saying current available print dark dreary scratchy abysmally edited painfully dubbed seemingly censored almost unwatchable shape also correct film dire need good remastering full uncut original negative seeing reasonably atmospheric director award catalonia film festival might actually worth trouble maybe impossible tell current condition kind movie actually start fairly interesting discount completely senseless pre credit opening sequence involves deranged cat killing snake loving little girl named gerda girl mom carla mónica randall laid eyeliner little bit splash gasoline around garage torch brat seemingly crazy young gerda go visit estranged photographer ex boyfriend mario john cihangir caffari vacation work desperate get away carla begs employer set assignment assignment scowl sorry head door well mario assigned photograph witch mountain somewhere pyrenees believe get destination get sight hottie beach named delia patty shepard snap picture taking bikini top slightly peeved claim single writer two flirt decide would swell idea went trip mountain together stop place pack bag mario suddenly hears loud sinister music delia claim hearing thing br br two begin trip mountain taking stop local inn spend night encounter weird partially deaf crazy eyed innkeeper victor israel delia claim someone spying window next day trance wanders mountain eventually located mario hop jeep run finding someone steal wheel forced walk piece eventually finding jeep undamaged foot small ancient seeming abandoned village almost like someone trying intentionally lure well see exactly happened village encounter friendly old woman named zanta ana farra claim person still living let stay home mario take picture abandoned city develops eerily full people slightly creeped delia begin leave get stuck treacherous fog pull camp night rest movie voodoo doll black cat transforming sexy woman satanic ritual performed lady bra deadly fall cliff yeah coincidentally carla estranged wife turn one witch take place semi darkness quite honest know hell going time inconclusive open ending additional slap face anyone suffer rest senseless mess br br honestly thing stand really good first actress shepard great barbara steele kind dark mysterious beauty also excellent music score credited fernando garcia morcillo chanting song aided immensely making film atmospheric location work fairly decent said print ugly make lick sense proceed caution one,0
depiction forlorn japanese force philipines tour de force utter meaninglessness war effective representation japanese pacifist view ww ii movie japanese soldier left fend jungle philipines faced impending starvation resort cannibalism gradually lose little humanity left call film depressing would something understatement viewer left utterly despairing sense life lost value modern combat final scene almost nihilistic film worthy statement none less highly recommended,1
way put word bad shapeless paceless laughless vice academy film really experience one third time row writer director rick sloane show even ounce writing directing talent nothing person age believe laugh yet brief nudity plot element make film unsuitable kid lead believe really aimed adult mental capability year old elizabeth kaitan make welcome replacement linnea quigley winningly bubbly cute wonderful big smile thing make viewer smile well watching girl film like watching bunch flower desert covered horse manure,0
ostensibly story young child jimmy stewart doris day kid get kidnapped keep parent quiet know something plot assassinate ambassador unnamed country performance albert hall london br br movie rich hitchcockian incident friendly opaque frenchman seems grill innocent stewart doctor indiana little intensely merely idly curious later frenchman show arab disguise knife back whisper information murder plot stewart stewart tell wife doris day looking saucy indeed refuse cooperate police risk son life br br instead couple try track assassin buy get son back taking morocco hitchcock given u usual tourist eye view custom location food london hilarious wild goose chase involving set stewart staff taxidermy shop staff concerned guarding half stuffed specimen anything else shuffle around protectively holding carcass leopard swordfish course scuffle stewart manages save throat cut swordfish bill bitten hand stuffed tiger action boosted along bernard hermann bumptious score scene end stewart rushing door hitchcock end shot lion head gaping slammed door also running gag well done visitor waiting around couple hotel room london waiting thing explained br br two serious issue lightly touched one relationship stewart day rosy ought considered bourgeois ideal stage musical star year internationally known given marry ordinary guy happens doc understandable say nurse flight attendant almost woman international star promising career right delved edginess noticeable original version reminds little exchange joe dimaggio wife marilyn monroe returned entertaining troop korea oh joe gushed ever see ten thousand people stand cheer seventy thousand muttered joe former hero new york yankee br br second problem one allegiance greater social value one young son unknown ambassador put loved one risk sake national stability day faced dilemma starkest form climax albert hall solution opts allegiance political stability although motif problematic scream save ambassador life release anxiety overwhelming cf alec guiness falling detonator end bridge river kwai photography extremely good setting menacing even quiet street residential neighborhood london mid day stewart alone determined frightened footstep echoing gulliver street someone somewhere followed life danger hell everybody life street hitchcock pay close attention location detail make garden wall bonding brick beside br br director rare disagreement francois truffaut interviewed truffaut otherwise laudatory book truffaut argued earlier version man knew much lacked depth later version hitchcock replied seems want make film art house audience finally agreed version work talented amateur version work professional argument br br hitchcock pretty much near zenith,1
larry mcmurty masterpiece stand good western lonesome dove ever take role woodrow call great portrayal style also easy see looking use stepping stone v series version writer knew keep flavor alive william peterson awesome geeky c guy character play guy seems br br deserve enjoyed enjoy western br br star,1
bottom favourite sitcom ever since saw v movie even better bottom fan say must buy plot eddie ritchie run hotel named guest house paradise go right customer leave famous actress come stay try best impress well go right upbringing british cinema buy wet laughter also starring simon peggi shaun dead also bill neigh love actually might done good box office look website listen buy swear love,1
like bad film thing steaming heap shaky cameraman horrible sound devastating acting waste second pile fifth grader could made better film first grader could written better script want real synopsis ugly chick neon bikini dancing way long disjointed plot made worse hideous acting location set even passable church scene take place dance studio oh yeah two tap dance number come blue br br oh total number naked breast even saved film add one trash heap,0
trapped buried alive brings u resort opened soon close br br start guy gear blowing drift avoid possibility avalanche somehow make sense anyways blow away one particularly big one notice resort open despite best effort higher authority tell day br br soon everyone expects avalanche hit br br look gonna reveal say b movie designed family channel saw fact commercial prof b movie anyways pretty decent film partially unreal br br firsthand people buried ice snow buried traced powder cd screwdriver possible finally stress enough explosion cannot stop avalanche guaranteed br br furthermore worth rental tv viewing owning br br movie rated pg maybe received something little strong boy nearly loses foot elevator leg cut around ankle guy toasted electricity diesel weight room dead people laying around br br enjoy,1
bought vhs film two buck waste money hey dig adam batman west tina giligan island louise hello third rate production rehash dozen biker film crazed bunch bikers psycho ride hick town beat everybody everything defeated man dashing hero adam west look part hero missing cape batman uniform sorry tina l look really nervous frightened whole show least know happened ginger rescued island lol bikers motley group known ever acted least hell rider hell watch,0
narrative  whether written visual poetic epic  generally try avoid may character reader viewer easily overwhelmed trying keep track exactly especially true film think simply cannot easily go back refresh memory cinema viewer like however problem see film dvd vhs br br year ago introduced audrey tautou french actress first saw fabulous destiny amelie poulain later long engagement finely crafted complex story large cast character earlier offering exceeds others way character complexity br br director used technique robert altman player short cut gosford park others paul thomas anderson magnolia stanley kramer mad mad mad mad world comedy almost epic proportion difference film first director let u see inside head character second scene repeated mean refresh viewer memory story flip flop different time period br br basic  core speak  story concern young woman irene tautou told fellow commuter train meet true love day occurs first minute film clever irony point irene realize young man opposite gilbert robin may one true love br br go separate way neither realizing potential significance close encounter however chaos result throughout rest day two young people rest character appear series cleverly constructed interwoven vignette seem going nowhere yet br br story simply could tend boring even quite predictable script director rip expectation host innovative scene commonplace turned believable extraordinary event allow two possible lover meet example next time bird poo sky drop onto book paper consider alternative two character make obvious choice must occur irene man destiny meet stone chip flying onto windscreen consider would happen br br interesting enough interesting assessing new man came along trying decide whether guy one irene whether fact young man train kept guessing br br let think see delightful romp br br recommended,1
great character great acting great dialogue incredible plot twist plain language one best show ever seen life favor watch show regret show writes book sci fi,1
saw world preem fido toronto international film festival thoroughly enjoyed welcome reworking genre widely thought pioneered certainly fleshed extensively successfully george romero canadian film canadian director comedy yes actually think better shawn dead thoroughly believable perhaps even importantly enjoyable performance dylan baker carrie anne moss young actor k sun ray suspect seeing lot future feature however must confess enjoyed delicious turn tim blake nelson neighbour mr theopolis essentially playing willing animated version victor van dort corpse bride seen film read even better corpse pride course scotch actor billy connolly least animated yet somehow deeply moving role titular character think would gotten role peter stormare commitment prison break revealed q following thursday night screening help speculate screenwriter must drawn lot inspiration day dead zombie bub keen ever revealing plot detail comment start suffice say fido one dour graphically gory zombie film rely romero rather film constantly chuckling although think back carefully sure fair dose blood letting violence delectable humour well enhanced surreal milieu created director currie co screenwriter go long way towards making seem like feature ought rated pg urge go see little canuck gem certainly buying dvd emerges hopefully next summer,1
north south book ii ultimate tv series spotting cameo appearance highly entertaining gene kelly james stewart elisabeth taylor olivia de havilland robert mitchum even johny cash¡ series come close achievement ever seen anyone looking like lincoln dick smith prosthetics made hal holbrock powerful performance even crafted costume jaw dropping location everything clear nowadays excellent bright tv series desperate housewife lost north south still one kind miss david carradine portrayal ultimate villain may call violent husband worth viewing maybe character situation stereotyped admit positive side clearly cast shadow glad finally available dvd spain,1
soldier great movie everyone hated plenty good reason liked soldier alot partly expectation low saw surprised br br first art direction tight well executed far science fiction backdrop go soldier thing design genre set costume prop consistent competently executed love future military style impressed effort made movie worth time took watch br br second kurt russell fan grew watching guy memorable movie youth barefoot executive john carpenter film soldier essentially action movie role sergeant todd essential action hero award winning role kurt muster convincing emotion little dialog br br third fight scene battle well choreographed iron monkey even matrix far exceeds average level quality genre br br seen like sci fi action film pick pas rental depot choice expect next bladerunner,1
time movie myopic desire present particular ending viewpoint simply bother actual story annoying type movie ending viewpoint conceived first story simply tacked reason often talk story jumping hoop twist trying vain progress preordained ending logical fashion br br story comet broadway jump hoop three ring circus ludicrous ill conceived disingenuous prone speaking aloud screen carrying quite rant br br central theme screenplay cesspool woman choosing family profession since horribly muddled end offensive people either opinion end point story theme becomes irrelevant often case poor screenplay acting save thing,0
time get psycho toy maker named joe petto get make living evil toy kill people go family bad luck simply living house mutant robot son pino get used live br br easily worst hopefully presumably last semi series one previous one look like soft core porn movie without sex nudity kind like low rent hybrid halloween iii puppet master doll bad home movie supposedly started sixth chapter series abandoned never completed hope stay way br br star br br,0
calling sciples grab friend hit theater see hell movie opening sequence credit laughing self breathless br br movie wild ride history bull crap list thing done chronicling rise power huge fan rage kage kyle gas jables jack black naturally loved movie br br help know show first cd funny hilarious vulgar lyric rocking rhythm massive amount pot smoking cameo outright insanity story line movie sciples newbie alike br br many song referenced two king tribute kielbasa many audio track like cock push ups every fan audience saying remember well new comer saying f ing hilarious highly recommend movie body ever rocked movie certainly high competition next spinal tap one best ever,1
believe actually sat thru entire film friend rented jacket made sound good defense jacket correct supposed haunted room someone slept overnight jacket sounded like par freddy jason maybe shining farther truth br br fan minimalist surrealist film may enjoy looking good fright movie couple thrill go rent jason v freddy iv much better night,0
stuff going moment mj started listening music watching odd documentary watched wiz watched moonwalker maybe want get certain insight guy thought really cool eighty maybe make mind whether guilty innocent moonwalker part biography part feature film remember going see cinema originally released subtle message mj feeling towards press also obvious message drug bad kay br br visually impressive course michael jackson unless remotely like mj anyway going hate find boring may call mj egotist consenting making movie mj fan would say made fan true really nice br br actual feature film bit finally start minute excluding smooth criminal sequence joe pesci convincing psychopathic powerful drug lord want mj dead bad beyond mj overheard plan nah joe pesci character ranted wanted people know supplying drug etc dunno maybe hate mj music br br lot cool thing like mj turning car robot whole speed demon sequence also director must patience saint came filming kiddy bad sequence usually director hate working one kid let alone whole bunch performing complex dance scene br br bottom line movie people like mj one level another think people stay away try give wholesome message ironically mj bestest buddy movie girl michael jackson truly one talented people ever grace planet guilty well attention gave subject hmmm well know people different behind closed door know fact either extremely nice stupid guy one sickest liar hope latter,1
like three stooge undoubtedly like minute short certainly amusing moment like stooge work revolves around particular style slapstick comedy confess somehow stooge never really slapstick always seemed angry rather funny even though obviously fake antic always seemed likely cause hurt rather cause laughter short slapstick revolves around attempt find shemp professor music wife inherited half million dollar condition marry within hour read one student interested word inheritance get suddenly long line potential bride pretty good cat fight emerges fan stooge enjoy element drive nut,0
faw br br aspect ratio br br sound format silent br br black white short film br br stan n ollie get mixed couple floozy kay deslys vera white setting visit theatre burn absence needless say tyrannical wife vivien oakland bess flower amused br br leo mccarey ok comedy laid narrative framework william seiter masterpiece son desert l h playing brow beaten victim circumstance forced tell monstrous lie backfire spectacular fashion much funny especially scene stan teased deslys leading violent game push shove however fun undercut oakland flower playing role completely straight add element unpleasantness henpecked husband scenario originally released uk slip,0
never impressed night gallery one episode stand br br tv network executive audition odd act young nerdy boy proceeds make prognostication exec dismisses whole thing flaky waste time prediction come true next morning br br first seemed parlor act becomes hit show kid prediction prove consistently accurate br br one day refuse show facing imminent showtime everyone wit end even threatening legal action fulfill contract make daily prediction br br young boy relents foretells seemingly utopian tomorrow br br show befuddled executive asks explanation learn complete truth terrifying reveal,1
stealing crime guy kenny yakkel corbin bernsen look like going get away even seen film know suck fact steal story another film film matter bull crap imdb would allow profanity much bull crap become filled rage feel though throw window end k little much stealing worse br br ever seen pontypool awesome little zombie film made radio host go work zombie attack happens see going inside radio station guess happening outside occasional call eye sky ken loney easily funniest moment film mind bbc calling update situation review read conversation friend seen film pontypool film exactly like story minor tweak throw originality creativity window zombie infected whatever want call exact thing got infected change fact walk around mindlessly never ending quench flesh zombie zombie br br zombie okay one many back crappy movie zombie heard lot like one day later another better movie insane rage even insane quench flesh zombie movie define story matter zombie movie long taking idea another film sure zombie movie enhanced story case pontypool zombie way original day later started insane raging zombie pontypool even begin explain guy without ruining film evil dead think type name come evil dead romero master went different type zombie painted face zombie dawn dead raging zombie diary dead one unique style br br talking great zombie movie think time explain hate movie without even seeing movie right steal original story outline pontypool think called plagiarism illegal country many people get kicked school thing yet hollywood allowed apparently approved film take outline another movie try tell differently like worst period movie ever sure gem decade movie exact favorite crime movie twist big never guess till end force feed one suspect make seem impossible anybody else bam time guy look scene would mysteriously show blue say hey guy miss oh see coming ya well leave cliché closing statement one film surely want miss,0
